movie_id;title;genres;avg_rating;num_votes;budget;revenue;release_date;original_language;popularity;keywords
tt0010323;The Cabinet of Dr. Caligari;Horror,Mystery,Thriller;8.0;64516;18000;8811;1920-02-27;de;14.79;insane asylum,black and white,cult film,silent film,psychotronic,unreliable narrator,expressionism,somnambulist,unreliable flashback,megalomania,madman,somnambulism,german expressionism
tt0012349;The Kid;Comedy,Drama,Family;8.3;126789;250000;2500000;1921-01-21;en;14.697;angel,suicide attempt,fistfight,slapstick comedy,class differences,foundling,silent film,dream sequence,semi autobiographical,car theft,little tramp,illegitimate child,unwed mother,abandoned baby,out of wedlock child,raised like own child,good deed doer
tt0013442;Nosferatu;Fantasy,Horror;7.9;98252;0;19054;1922-02-16;de;16.524;germany,transylvania,loss of loved one,shapeshifting,self sacrifice,coffin,castle,vampire,ghost ship,supernatural,black and white,silent film,seashore,vampire bat,real estate agent,ghoul,psychotronic,locket,sailing ship,corpse in coffin,nosferatu,real estate,black death,expressionism,mountain country,sleepwalking,romania,rat,german expressionism,dracula
tt0015324;Sherlock Jr.;Action,Comedy,Romance;8.2;50390;0;0;1924-04-17;en;11.273;amateur detective,pickpocket,slapstick comedy,jungle,motorcycle,false accusations,silent film,projectionist,booby trap,handkerchief,magnifying glass,railyard,banana peel,pearls
tt0015648;Battleship Potemkin;Drama,History,Thriller;7.9;58131;0;45100;1925-12-24;ru;14.994;odessa,baby carriage,cossack,panic,slaughter,massacre,rage,sailor,silent film,russian revolution (1917),revolt,imperial russia,insubordination,port city,soviet realism,maggots
tt0015864;The Gold Rush;Adventure,Comedy,Drama;8.2;111760;923000;4000000;1925-07-12;en;14.983;river,gold,dance,worker,cabin,gold rush,thanksgiving,love,alaska,black and white,silent film,klondike,little tramp,dance hall
tt0017136;Metropolis;Drama,Sci-Fi;8.3;174697;1300000;650422;1927-02-06;de;19.259;man vs machine,based on novel or book,underground world,inventor,metropolis,future,class society,dystopia,tower of babel,delirium,steampunk,mad scientist,prophet,robot,destruction,silent film,expressionism,seven deadly sins,depravity,mob justice,downtrodden,saviour,social unrest,german expressionism,mediator,2020s
tt0017925;The General;Action,Adventure,Comedy;8.2;91831;750000;1000000;1926-12-25;en;10.928;spy,southern usa,general,fiancé,cannon,bridge,engineer,army,attack,train,silent film,behind enemy lines,american civil war,crazy stunts,bridge collapse
tt0018455;Sunrise;Drama,Romance;8.1;51316;0;0;1927-11-04;en;10.044;love triangle,adultery,lake,country life,indian summer ,pig,marriage crisis,rural area,redemption,storm,silent film,farmer,troubled marriage,german expressionism
tt0019254;The Passion of Joan of Arc;Biography,Drama,History;8.2;55208;0;0;1928-04-21;fr;10.524;judge,woman martyr,heresy,court case,suffering,sentence,torture chamber,religion,trial,saint,martyrdom,dove,silent film,catholicism,martyr,joan of arc,forgery,judiciary,15th century,burning at stake,holy communion,bloodletting
tt0020629;All Quiet on the Western Front;Drama,War;8.1;62682;1448864;3270000;1930-04-29;en;27.114;germany,disillusion,based on novel or book,patriotism,world war i,friendship,army,boot camp,battlefield,steel helmet,atrocity,black and white,soldier,combat,warfare,death,pre-code,anti war,mud,trenches,young soldier,battlefield trauma
tt0021749;City Lights;Comedy,Drama,Romance;8.5;184872;1500000;4250000;1931-02-01;en;14.319;suicide attempt,operation,blindness and impaired vision,love of one's life,eye operation,flower shop,flower girl,tramp,love,black and white,millionaire,silent film,blind girl,little tramp
tt0021814;Dracula;Drama,Fantasy,Horror;7.4;53617;355000;700000;1931-02-12;en;16.527;transylvania,based on novel or book,monster,castle,vampire,spider,bat,count,based on play or musical,undead,sanitarium,black and white,pre-code,real estate agent,lunatic,dracula
tt0021884;Frankenstein;Drama,Horror,Sci-Fi;7.8;73777;291000;12000000;1931-11-21;en;12.465;fire,based on novel or book,monster,experiment,reanimation,laboratory,mad doctor,black and white,pre-code,body part,angry mob,villager,frankenstein
tt0022100;M;Crime,Mystery,Thriller;8.3;158315;0;0;1931-05-11;de;15.515;germany,berlin, germany,child murder,detective inspector,investigation,psychopath,organized crime,black and white,criminal,child killer,pre-code,psycho,expressionism,german expressionism
tt0023969;Duck Soup;Comedy,Musical;7.8;60409;0;0;1933-11-12;en;9.809;dictator,spy,ambassador,siege,widow,musical,slapstick comedy,cigar smoking,lemonade,pre-code,dowager,fictitious country,geofiction
tt0024216;King Kong;Adventure,Horror,Sci-Fi;7.9;86084;672000;10000000;1933-03-15;en;22.34;new york city,screenplay,movie business,exotic island,island,ship,great depression,unsociability,dinosaur,black and white,pre-code,sea voyage,damsel in distress,empire state building,giant ape,animal horror,great ape
