people_id;name;popularity;imdb_id;gender
2991;Robert Wiene;1.886;nm0927468;2
13848;Charlie Chaplin;15.496;nm0000122;2
9076;F. W. Murnau;3.661;nm0003638;2
8635;Buster Keaton;4.379;nm0000036;2
9603;Sergei Eisenstein;1.166;nm0001178;2
68;Fritz Lang;8.611;nm0000485;2
10517;Clyde Bruckman;1.22;nm0115669;2
11572;Carl Theodor Dreyer;1.261;nm0003433;2
2000;Lewis Milestone;3.13;nm0587277;2
70;Karl Freund;1.609;nm0005713;2
1496;Tod Browning;1.55;nm0115218;2
2917;James Whale;2.083;nm0001843;2
30008;Leo McCarey;3.714;nm0564970;2
3238;Merian C. Cooper;1.4;nm0178260;2
3239;Ernest B. Schoedsack;2.148;nm0774325;2
2662;Frank Capra;2.707;nm0001008;2
2636;Alfred Hitchcock;12.161;nm0000033;2
5446;David Hand;3.251;nm0359457;2
4109;Michael Curtiz;4.455;nm0002031;2
67426;William Keighley;0.6;nm0445033;2
11435;Howard Hawks;3.212;nm0001328;2
9049;Victor Fleming;2.753;nm0281808;2
14674;George Cukor;3.63;nm0002030;2
10790;Sam Wood;0.833;nm0939992;2
5690;James Algar;2.171;nm0019282;2
5691;Samuel Armstrong;2.063;nm0035899;2
11426;Ben Sharpsteen;1.897;nm0789313;2
11427;William Roberts;0.753;nm0730860;2
11428;Paul Satterfield;0.6;nm0766402;2
11429;Hamilton Luske;4.357;nm0527217;2
11430;Jim Handley;1.932;nm0359610;2
11431;Ford Beebe;0.836;nm0066247;2
11432;T. Hee;0.604;nm0373429;2
11434;Wilfred Jackson;4.801;nm0414144;2
226599;Norman Ferguson;1.124;nm0272568;2
8500;John Ford;3.613;nm0000406;2
74565;Jack Kinney;2.105;nm0455741;2
40;Orson Welles;8.125;nm0000080;2
6593;John Huston;11.126;nm0001379;2
366;James Mangold;8.683;nm0003506;2
3146;Billy Wilder;8.825;nm0000697;2
10001;William Wyler;3.167;nm0943758;2
12329;Vittorio De Sica;6.166;nm0001120;2
15378;Carol Reed;5.867;nm0715346;2
10601;Joseph L. Mankiewicz;2.621;nm0000581;2
64864;Clyde Geronimi;5.989;nm0314671;2
33064;Henry Koster;1.768;nm0467396;2
5026;Akira Kurosawa;7.549;nm0000041;2
1744;Robert Wise;3.598;nm0936404;2
2746;Elia Kazan;1.995;nm0001415;2
4065;Fred Zinnemann;2.905;nm0003593;2
13284;Stanley Donen;1.987;nm0002045;2
13294;Gene Kelly;6.602;nm0000037;2
2559;Henri-Georges Clouzot;2.85;nm0167241;2
95501;Yasujirō Ozu;5.994;nm0654868;2
4415;Federico Fellini;9.423;nm0000019;2
10921;Charles Laughton;7.516;nm0001452;2
2765;Nicholas Ray;3.715;nm0712947;2
14773;Don Siegel;6.041;nm0796923;2
240;Stanley Kubrick;11.706;nm0000040;2
8636;Cecil B. DeMille;3.557;nm0001124;2
39996;Sidney Lumet;9.775;nm0001486;2
12238;David Lean;2.903;nm0000180;2
6648;Ingmar Bergman;7.26;nm0000005;2
834;Otto Preminger;5.118;nm0695937;2
1650;François Truffaut;4.1;nm0000076;2
3776;Jean-Luc Godard;10.923;nm0000419;2
14520;John Sturges;4.309;nm0836328;2
40199;Anthony Mann;1.675;nm0542649;2
1927;Blake Edwards;2.946;nm0001175;2
18669;J. Lee Thompson;3.559;nm0496746;2
14875;Robert Rossen;0.958;nm0744035;2
4081;Stanley Kramer;4.235;nm0006452;2
57314;Wolfgang Reitherman;2.043;nm0718627;2
18868;Jerome Robbins;0.6;nm0730385;2
9855;Terence Young;6.004;nm0950109;2
76978;Masaki Kobayashi;3.161;nm0462030;2
9894;Bernhard Wicki;2.652;nm0926919;2
35318;Ken Annakin;2.611;nm0002175;2
57142;Andrew Marton;0.884;nm0554249;2
13776;John Frankenheimer;2.297;nm0001239;2
8482;Robert Mulligan;2.53;nm0612322;2
18392;Robert Aldrich;4.243;nm0000736;2
9915;Guy Hamilton;4.968;nm0357891;2
5834;Robert Stevenson;3.155;nm0829038;2
4385;Sergio Leone;7.003;nm0001466;2
90694;Gillo Pontecorvo;0.732;nm0690597;2
3556;Roman Polanski;6.605;nm0000591;2
8452;Andrei Tarkovsky;7.584;nm0001789;2
15189;Michelangelo Antonioni;2.187;nm0000774;2
5342;Mike Nichols;1.348;nm0001566;2
6448;Arthur Penn;1.96;nm0671957;2
13859;Stuart Rosenberg;1.4;nm0742341;2
13563;Norman Jewison;3.111;nm0422484;2
3831;Jean-Pierre Melville;1.39;nm0578483;2
10076;Lewis Gilbert;3.807;nm0318150;2
12804;Peter Yates;3.773;nm0946811;2
14999;George A. Romero;2.924;nm0001681;2
13265;Franklin J. Schaffner;2.771;nm0769874;2
14639;Mel Brooks;15.502;nm0000316;2
9577;George Roy Hill;4.138;nm0001351;2
2778;Dennis Hopper;11.661;nm0000454;2
19304;John Schlesinger;2.131;nm0772259;2
9868;Peter R. Hunt;1.96;nm0402597;2
54451;Brian G. Hutton;2.037;nm0404606;2
7767;Sam Peckinpah;4.919;nm0001603;2
9789;Robert Altman;3.199;nm0000265;2
1;George Lucas;8.482;nm0000184;2
15175;William Friedkin;2.897;nm0001243;2
4964;Hal Ashby;3.474;nm0000797;2
3451;Mel Stuart;2.592;nm0835799;2
6818;Werner Herzog;9.709;nm0001348;2
66777;Bob Fosse;2.039;nm0002080;2
19665;John Boorman;2.547;nm0000958;2
1776;Francis Ford Coppola;7.067;nm0000338;2
190;Clint Eastwood;31.673;nm0000142;2
30715;Terrence Malick;5.905;nm0000517;2
14132;Nicolas Roeg;5.404;nm0001676;2
57727;Robert Clouse;2.372;nm0167195;2
18635;Ted Post;2.492;nm0692872;2
1032;Martin Scorsese;15.365;nm0000217;2
2087;Richard Fleischer;2.83;nm0281507;2
4956;Bernardo Bertolucci;6.296;nm0000934;2
4782;Michael Crichton;7.173;nm0000341;2
80261;Robin Hardy;1.193;nm0362736;2
280;Terry Gilliam;6.874;nm0000416;2
10707;Terry Jones;2.174;nm0001402;2
10051;Tobe Hooper;8.554;nm0001361;2
488;Steven Spielberg;23.388;nm0000229;2
3974;Miloš Forman;3.02;nm0001232;2
13484;Jim Sharman;2.254;nm0788940;2
5970;Pier Paolo Pasolini;8.138;nm0001596;2
85446;Ramesh Sippy;1.223;nm0802693;2
2226;Sydney Pollack;4.242;nm0001628;2
6349;Alan J. Pakula;1.054;nm0001587;2
11770;John Carpenter;12.612;nm0000118;2
1150;Brian De Palma;5.774;nm0000361;2
5602;David Lynch;11.592;nm0000186;2
20412;Michael Anderson;1.922;nm0027183;2
7187;Richard Donner;6.97;nm0001149;2
16513;John G. Avildsen;2.394;nm0000814;2
1243;Woody Allen;9.353;nm0000095;2
4786;Richard Attenborough;12.777;nm0000277;2
67607;Art Stevens;0.626;nm0828245;2
69003;John Lounsbery;1.4;nm0522028;2
12840;John Badham;1.099;nm0000824;2
67767;Hal Needham;5.888;nm0624102;2
4955;Dario Argento;4.946;nm0000783;2
12114;Michael Cimino;4.645;nm0001047;2
8876;Randal Kleiser;3.127;nm0459170;2
648;Philip Kaufman;1.775;nm0442241;2
16187;Jeannot Szwarc;3.172;nm0844358;2
9168;Alan Parker;3.58;nm0000570;2
4610;John Landis;5.272;nm0000484;2
578;Ridley Scott;15.795;nm0000631;2
45572;Ruggero Deodato;3.438;nm0219959;2
1895;Carl Reiner;4.122;nm0005348;2
6729;Robert Benton;4.645;nm0000914;2
20629;George Miller;10.325;nm0004306;2
16483;Sylvester Stallone;40.564;nm0000230;2
1723;Walter Hill;7.461;nm0001353;2
3415;Jerry Zucker;2.205;nm0958387;2
12936;Jim Abrahams;3.765;nm0000720;2
12987;David Zucker;7.943;nm0001878;2
1524;Harold Ramis;12.017;nm0000601;2
10930;Irvin Kershner;6.316;nm0449984;2
17281;Mike Hodges;2.286;nm0388198;2
35475;Sean S. Cunningham;1.398;nm0192446;2
55668;Jamie Uys;3.475;nm0371059;2
4135;Robert Redford;24.681;nm0000602;2
224;David Cronenberg;9.828;nm0000343;2
10586;Richard Lester;3.768;nm0504513;2
5231;Wolfgang Petersen;5.098;nm0000583;2
58220;Hugh Hudson;3.38;nm0399853;2
8328;John Milius;3.723;nm0587518;2
10179;John Glen;5.608;nm0322515;2
67604;Ted Berman;2.702;nm0075859;2
107274;Richard Rich;2.495;nm0723704;2
58712;Steve Miner;6.349;nm0591171;2
33341;Rick Rosenthal;3.174;nm0742819;2
8858;Ivan Reitman;3.966;nm0718645;2
27746;Ken Finkleman;0.98;nm0277946;2
7908;Frank Oz;8.486;nm0000568;2
55983;Jim Henson;5.121;nm0001345;2
7623;Sam Raimi;16.928;nm0000600;2
57434;Amy Heckerling;3.131;nm0002132;1
16544;Ted Kotcheff;2.623;nm0467646;2
18596;Taylor Hackford;3.734;nm0000431;2
1788;Nicholas Meyer;2.102;nm0583292;2
12859;Steven Lisberger;1.832;nm0513974;2
12698;Bob Clark;2.201;nm0163706;2
7270;Adrian Lyne;5.461;nm0001490;2
11777;Tommy Lee Wallace;6.674;nm0908890;2
19800;Richard Marquand;2.706;nm0549658;2
57383;Paul Brickman;0.785;nm0001887;2
3388;James L. Brooks;7.929;nm0000985;2
37710;Peter Hyams;3.738;nm0001382;2
769;Martin Brest;2.905;nm0000976;2
1223;Joel Coen;5.686;nm0001054;2
66987;Fritz Kiersch;1.422;nm0452607;2
18378;Herbert Ross;2.066;nm0006889;2
64195;Joseph Zito;1.087;nm0957263;2
4600;Joe Dante;3.924;nm0001102;2
